City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Kushiro,JP,42.975,144.3747,62.6,90,100,8.9,overcast clouds
117,Manaure,CO,11.7751,-72.4445,91.78,47,4,21.3,clear sky
118,Guerrero Negro,MX,27.9769,-114.0611,86.4,42,6,12.19,clear sky
119,Jamestown,US,42.097,-79.2353,81.01,45,20,9.22,few clouds
120,Nioro,GM,13.35,-15.75,73.31,98,100,8.77,heavy intensity rain
121,Pisco,PE,-13.7,-76.2167,63.01,77,20,9.22,few clouds
122,Bredasdorp,ZA,-34.5322,20.0403,43.5,81,4,3.83,clear sky
123,Jacareacanga,BR,-6.2222,-57.7528,87.96,49,100,1.7,overcast clouds
124,Salaga,GH,8.5508,-0.5188,74.91,91,100,5.3,overcast clouds
125,Matara,LK,5.9485,80.5353,77.31,90,99,12.86,overcast clouds
126,Vila Velha,BR,-20.3297,-40.2925,71.55,83,100,6.91,overcast clouds
127,Beloha,MG,-25.1667,45.05,65.07,92,5,3.87,clear sky
128,Cape Town,ZA,-33.9258,18.4232,53.91,78,0,8.01,clear sky
129,Torbat-E Jam,IR,35.244,60.6225,77.58,29,0,11.48,clear sky
130,Tarbert,GB,55.8628,-5.4162,55.51,89,2,4.76,clear sky
131,Ahipara,NZ,-35.1667,173.1667,54.32,68,10,6.4,clear sky
132,San Cristobal,VE,7.7669,-72.225,82.58,75,60,5.44,broken clouds
133,Oranjemund,NA,-28.55,16.4333,52.88,78,0,16.13,clear sky
134,Shagonar,RU,51.5333,92.8,61.43,71,77,1.36,broken clouds
135,Tautira,PF,-17.7333,-149.15,77.14,70,39,24.67,scattered clouds
136,Hobart,AU,-42.8794,147.3294,50.25,74,75,12.66,broken clouds
137,Severo-Kurilsk,RU,50.6789,156.125,52.63,90,100,9.84,overcast clouds
138,Ribeira Grande,PT,38.5167,-28.7,74.53,70,17,2.42,few clouds
139,Bima,ID,-8.4667,118.7167,71.44,95,66,3.87,broken clouds
140,Marystown,CA,47.1666,-55.1483,68.86,100,9,8.01,clear sky
141,West Wendover,US,40.7391,-114.0733,96.01,15,0,9.22,clear sky
142,Cockburn Town,TC,21.4612,-71.1419,85.96,70,40,14.97,scattered clouds
143,Ouadda,CF,8.0777,22.4007,67.01,99,97,2.62,overcast clouds
144,North Bend,US,43.4065,-124.2243,72.91,100,97,1.01,overcast clouds
145,Naron,ES,43.5167,-8.1528,72.45,86,0,13.13,clear sky
146,Nieuw Nickerie,SR,5.95,-56.9833,80.24,80,55,9.46,broken clouds
147,San Pedro,PH,14.35,121.0167,78.35,94,40,0.0,moderate rain
148,Norman Wells,CA,65.282,-126.8329,71.76,43,9,8.05,clear sky
149,Akyab,MM,20.15,92.9,82.94,79,100,3.67,overcast clouds
150,Saint-Pierre,RE,-21.3393,55.4781,67.91,71,0,6.91,clear sky
151,Cedar Lake,US,41.3648,-87.4411,84.96,57,0,10.09,clear sky
152,Forbes,AU,-33.3833,148.0167,51.93,97,88,6.85,overcast clouds
153,Lufilufi,WS,-13.8745,-171.5986,82.18,80,48,20.85,light rain
154,Whitehorse,CA,60.7161,-135.0538,63.37,64,75,2.3,broken clouds
155,Bollnas,SE,61.3482,16.3946,61.29,78,61,4.12,broken clouds
156,Russell,US,32.3502,-85.1999,94.96,46,20,5.75,few clouds
157,Nishihara,JP,26.1842,127.7558,76.28,94,75,6.91,moderate rain
158,Codrington,AU,-38.2667,141.9667,42.58,92,20,13.27,few clouds
159,Aklavik,CA,68.2191,-135.0107,63.72,50,87,1.68,overcast clouds
160,Abha,SA,18.2164,42.5053,64.65,82,0,0.0,clear sky
161,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,73,0,4.61,clear sky
162,Chokurdakh,RU,70.6333,147.9167,66.79,53,100,7.76,overcast clouds
163,Lebu,CL,-37.6167,-73.65,49.51,78,91,6.11,overcast clouds
164,Aripuana,BR,-9.1667,-60.6333,92.53,30,2,0.92,clear sky
165,Vung Tau,VN,10.346,107.0843,81.54,81,100,10.42,overcast clouds
166,Frome,GB,51.2283,-2.3221,67.87,85,76,5.41,broken clouds
167,Druzhba,UA,52.0428,33.9453,63.73,63,100,8.9,overcast clouds
