City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Hithadhoo,MV,2022-07-23 04:57:27,-0.6,73.0833,82.24,72,100,5.19
111,Nsukka,NG,2022-07-23 04:57:28,6.8561,7.3927,68.34,98,99,3.6
112,Puerto Ayora,EC,2022-07-23 04:57:28,-0.7393,-90.3518,69.55,91,26,3.0
113,Katherine,AU,2022-07-23 04:57:28,-14.4667,132.2667,82.72,8,32,12.66
114,Nagorsk,RU,2022-07-23 04:57:29,59.3172,50.8078,70.52,56,40,3.56
115,Atambua,ID,2022-07-23 04:57:29,-9.1061,124.8925,80.6,44,18,1.39
116,Beringovskiy,RU,2022-07-23 04:57:30,63.05,179.3167,45.63,85,100,7.92
117,Sioux Lookout,CA,2022-07-23 04:53:19,50.1001,-91.917,57.27,94,0,3.44
118,Listvyagi,RU,2022-07-23 04:57:30,53.6772,86.951,64.33,77,76,6.26
119,Egvekinot,RU,2022-07-23 04:57:31,66.3167,-179.1667,40.19,72,97,12.48
120,Busselton,AU,2022-07-23 04:55:20,-33.65,115.3333,56.07,89,99,17.81
121,Santa Rosa,PH,2022-07-23 04:57:31,14.3122,121.1114,91.38,75,83,6.98
122,Saint-Georges,GD,2022-07-23 04:57:32,12.0564,-61.7485,78.48,83,20,2.3
123,Comodoro Rivadavia,AR,2022-07-23 04:57:32,-45.8667,-67.5,26.46,63,0,5.75
124,Acapulco,MX,2022-07-23 04:57:33,16.8634,-99.8901,84.02,65,100,8.05
125,Atuona,PF,2022-07-23 04:57:33,-9.8,-139.0333,77.59,77,14,16.11
126,Radviliskis,LT,2022-07-23 04:57:33,55.8167,23.5333,66.25,94,75,4.61
127,Hickory,US,2022-07-23 04:54:06,35.7332,-81.3412,77.65,92,87,4.29
128,Houlton,US,2022-07-23 04:57:34,46.1262,-67.8403,63.72,75,7,4.23
129,Honiara,SB,2022-07-23 04:52:56,-9.4333,159.95,82.36,74,40,0.85
130,Chokurdakh,RU,2022-07-23 04:57:35,70.6333,147.9167,64.62,36,34,13.11
131,Tecoanapa,MX,2022-07-23 04:57:35,16.5167,-98.75,79.65,83,61,1.81
132,Kristinehamn,SE,2022-07-23 04:57:35,59.3098,14.1081,54.16,87,93,7.25
133,Bantogon,PH,2022-07-23 04:57:36,6.5333,124.0333,82.51,74,30,3.94
134,Lata,PT,2022-07-23 04:57:36,40.1629,-8.3327,61.07,87,0,1.92
135,Itupiranga,BR,2022-07-23 04:57:37,-5.1347,-49.3267,71.92,58,2,2.26
136,Bathsheba,BB,2022-07-23 04:57:37,13.2167,-59.5167,79.41,91,75,6.91
137,Aswan,EG,2022-07-23 04:57:37,24.0934,32.907,83.5,28,0,6.91
138,Grand Gaube,MU,2022-07-23 04:58:38,-20.0064,57.6608,73.38,67,1,5.01
139,Torbay,CA,2022-07-23 04:58:38,47.6666,-52.7314,66.97,89,40,12.66
140,Uttaradit,TH,2022-07-23 04:58:39,17.6667,100.5,72.93,97,100,1.72
141,San Pedro De Uraba,CO,2022-07-23 04:58:39,8.2752,-76.3764,72.63,96,100,3.71
142,Fort Smith,US,2022-07-23 04:55:41,35.3859,-94.3986,82.04,74,12,1.99
143,Rauma,FI,2022-07-23 04:58:40,61.1272,21.5113,64.44,91,94,6.62
144,Ancud,CL,2022-07-23 04:58:41,-41.8697,-73.8203,45.23,93,99,14.34
145,Ribeira Grande,PT,2022-07-23 04:58:41,38.5167,-28.7,72.84,89,55,6.44
146,Bengkulu,ID,2022-07-23 04:58:42,-3.8004,102.2655,86.07,63,22,8.01
147,Sungaipenuh,ID,2022-07-23 04:58:42,-2.0833,101.3833,80.62,58,67,1.07
148,Fare,PF,2022-07-23 04:58:43,-16.7,-151.0167,78.49,75,7,11.1
149,Saint-Philippe,RE,2022-07-23 04:58:43,-21.3585,55.7679,71.19,85,51,15.57
150,Nauta,PE,2022-07-23 04:58:45,-4.5061,-73.5757,71.51,91,56,2.66
