City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
377,Krasnoarmeysk,RU,66.15,broken clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
380,Sattahip,TH,82.98,light rain,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
382,Piracanjuba,BR,78.39,clear sky,-17.3028,-49.0167,Casas Luci
383,Flin Flon,CA,66.81,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
384,Khani,GE,65.77,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
385,Diphu,IN,73.35,overcast clouds,25.8333,93.4333,Hotel Kamakhya
387,Quelimane,MZ,67.86,clear sky,-17.8786,36.8883,Hotel Flamingo
388,Marsh Harbour,BS,84.47,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
389,Mbigou,GA,65.64,clear sky,-1.9005,11.906,
390,Mahon,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
391,Terra Nova,BR,73.27,few clouds,-12.3667,-40.6667,
393,Tiznit,MA,85.46,scattered clouds,29.5833,-9.5,
394,Bereslavka,RU,70.57,clear sky,48.6254,44.0449,
396,Maragogi,BR,74.23,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
398,Katras,IN,84.4,overcast clouds,23.8,86.2833,Black cole ground
399,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
402,Kailua,US,84.18,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
403,Wadi Musa,JO,69.76,clear sky,30.3222,35.4793,Petra Palace Hotel
405,Samarai,PG,79.65,broken clouds,-10.6167,150.6667,Nuli Sapi
406,Inhambane,MZ,67.41,clear sky,-23.865,35.3833,Oceano
408,Santa Isabel,BR,67.71,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
409,Kuala Terengganu,MY,78.78,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
410,Lasa,IT,65.35,clear sky,46.6166,10.7002,Pension Feldgärtenhof
411,Wanning,CN,80.51,clear sky,18.8003,110.3967,Paradise Hotel
413,Loandjili,CG,70.86,clear sky,-4.7561,11.8578,Résidence ARCHANGE
415,Puerto Madero,MX,88.0,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
416,Biak,ID,74.93,overcast clouds,-0.9131,122.8766,Penginapan Kim
417,Yining,CN,75.25,clear sky,29.0361,114.5636,Xiushui Hotel
418,Cap Malheureux,MU,71.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
419,Sioux Lookout,CA,69.67,light rain,50.1001,-91.917,Knobby's Fly-In Camps
420,Nantucket,US,80.74,clear sky,41.2835,-70.0995,Jared Coffin House
421,Iralaya,HN,81.7,broken clouds,15.0,-83.2333,Iglesia morava renovada
423,Los Llanos De Aridane,ES,69.55,overcast clouds,28.6585,-17.9182,Valle Aridane
425,Broome,US,80.46,clear sky,42.2506,-75.833,Chenango Valley State Park
426,Sandakan,MY,75.33,overcast clouds,5.8402,118.1179,Hotel Sandakan
427,Lagoa,PT,72.86,clear sky,39.05,-27.9833,Casa Das Faias
428,Kavaratti,IN,80.8,heavy intensity rain,10.5669,72.642,Green leaf
429,Saurimo,AO,66.97,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
430,Palmer,US,84.65,broken clouds,42.1584,-72.3287,Wedgewood Motel
